Record_ID,Sensor_ID,Road_Segment_ID,Intersection_ID,Timestamp,Day_of_Week,Hour_of_Day,Weekend_Flag,Traffic_Volume,Vehicle_Speed_kmph,Road_Occupancy_Percent,Vehicle_Density,Travel_Time_sec,Queue_Length_m,Lane_Count,Lane_Utilization_Percent,Signal_Delay_sec,Weather_Condition,Temperature_C,Humidity_Percent,Visibility_m,Road_Surface,GPS_Vehicle_Count,IoT_Device_Count,Camera_Detection_Count,Incident_Flag,Special_Event,Historical_Flow_5min,Historical_Flow_10min,Historical_Flow_15min,Congestion_Level,Future_Traffic_Flow
13,SEN_036,RS_056,INT_041,01/01/2024 00:12,Monday,0,No,1562,41.19,80.26,78.68,210.76,155.66,3,35.23,79.18,Clear,20.9,91,8349,Dry,140,27,1695,Yes,No,1552,1526,1793,Severe,Very High Flow
14,SEN_073,RS_051,INT_041,01/01/2024 00:13,Monday,0,No,167,86.69,6.6,7.7,66.76,0,5,5,1.56,Rain,37.3,89.6,7447,Dry,126,9,1516,Yes,No,154,231,144,Low,Low Flow
15,SEN_140,RS_079,INT_050,01/01/2024 00:14,Monday,0,No,1476,46.37,65.15,84.09,216.74,161.09,3,21.15,78.91,Rain,19.4,66.4,8599,Dry,158,9,613,No,No,1591,1646,1517,Severe,Very High Flow
16,SEN_040,RS_001,INT_045,01/01/2024 00:15,Monday,0,No,1203,60.81,61.84,68.81,172.95,135.5,5,10.2,70.61,Windy,35.7,70.9,5855,Wet,272,6,1300,No,No,1201,1231,1353,High,High Flow
17,SEN_008,RS_027,INT_049,01/01/2024 00:16,Monday,0,No,951,60.5,49.5,46.78,130.75,91.77,2,26.09,52.72,Rain,39.4,49.5,9752,Dry,226,27,1275,No,No,939,870,1154,High,High Flow
18,SEN_042,RS_039,INT_033,01/01/2024 00:17,Monday,0,No,1767,27.96,81.19,101.52,245.15,218.27,4,17.98,116.96,Clear,24.4,51.3,5858,Dry,432,18,896,No,No,1755,1800,1800,Severe,Very High Flow
19,SEN_005,RS_005,INT_044,01/01/2024 00:18,Monday,0,No,210,90.02,5.59,19.07,93.81,42.89,4,6.16,18.94,Clear,33.5,49.6,2312,Dry,358,23,76,No,No,222,116,72,Low,Low Flow
20,SEN_134,RS_035,INT_018,01/01/2024 00:19,Monday,0,No,1765,37.75,86.51,96.65,234.89,187.99,4,18.37,102.17,Windy,35.7,56.3,4688,Dry,307,28,1386,No,No,1800,1800,1800,Severe,Very High Flow
21,SEN_002,RS_041,INT_034,01/01/2024 00:20,Monday,0,No,1412,48.46,59.13,77.63,200.53,159.39,2,28.38,87.02,Cloudy,24.7,36.4,4211,Wet,38,11,1305,No,Yes,1322,1436,1585,Severe,Very High Flow
22,SEN_018,RS_027,INT_029,01/01/2024 00:21,Monday,0,No,849,68.36,45.99,45.07,148.78,87.5,6,7.04,40.32,Windy,27.5,58.4,3674,Dry,276,10,230,No,No,830,799,1095,Moderate,Medium Flow
23,SEN_047,RS_052,INT_003,01/01/2024 00:22,Monday,0,No,423,80.03,18.71,22.09,104.01,41.72,4,7.75,26.36,Clear,15.5,38.4,6956,Dry,35,18,598,No,No,462,597,529,Low,Low Flow
24,SEN_056,RS_024,INT_047,01/01/2024 00:23,Monday,0,No,1595,47.17,81.19,93.46,231.97,201.11,3,28.3,100.57,Rain,20.7,84,7606,Dry,230,2,496,No,No,1543,1646,1751,Severe,Very High Flow
25,SEN_019,RS_017,INT_030,01/01/2024 00:24,Monday,0,No,1517,36.88,70.54,81.14,217.12,178.87,5,10.31,97.64,Rain,29.2,65.2,5874,Dry,304,27,1114,No,No,1477,1607,1582,Severe,Very High Flow
26,SEN_024,RS_046,INT_001,01/01/2024 00:25,Monday,0,No,885,68.05,54.34,50.14,157.47,105.7,4,8.7,52.92,Clear,21.4,78.7,8392,Dry,320,18,417,No,No,936,855,766,Moderate,Medium Flow
27,SEN_026,RS_009,INT_034,01/01/2024 00:26,Monday,0,No,465,65.26,16.15,24.73,105.96,43.39,3,7,28.46,Clear,22,44.2,8424,Dry,294,26,1523,No,No,526,386,560,Moderate,Medium Flow
28,SEN_091,RS_016,INT_038,01/01/2024 00:27,Monday,0,No,1295,57.62,62.26,72.71,199.32,162.01,4,10.3,83.41,Clear,24.7,52.7,6899,Dry,246,16,70,No,No,1375,1295,1049,High,High Flow
29,SEN_056,RS_057,INT_044,01/01/2024 00:28,Monday,0,No,1035,67.14,57.75,56.36,159.23,117.32,3,18.61,57.18,Clear,32.5,35,3769,Dry,298,16,818,No,Yes,1008,1135,1280,High,High Flow
30,SEN_117,RS_013,INT_026,01/01/2024 00:29,Monday,0,No,356,71.62,12.05,23.06,99.51,48.14,4,5,20.08,Cloudy,29.4,86.4,9682,Dry,407,20,137,No,No,458,235,152,Low,Low Flow
31,SEN_057,RS_062,INT_009,01/01/2024 00:30,Monday,0,No,1264,55.86,63.66,74.39,204.41,141.89,2,30.8,66.74,Clear,18.4,71.3,4089,Dry,414,26,526,No,Yes,1369,1182,1382,High,High Flow
32,SEN_076,RS_049,INT_036,01/01/2024 00:31,Monday,0,No,539,80.94,30.08,31.44,114.78,61.39,5,7.12,29.25,Rain,27.8,56.1,1392,Dry,298,22,251,No,No,462,523,512,Moderate,Medium Flow
33,SEN_039,RS_031,INT_044,01/01/2024 00:32,Monday,0,No,1417,46.82,63.32,77.86,203.39,178.61,4,21.55,87.83,Windy,19,93.6,6716,Dry,26,22,1652,No,No,1335,1388,1436,Severe,Very High Flow
34,SEN_063,RS_068,INT_009,01/01/2024 00:33,Monday,0,No,101,91.16,5,8.76,78.58,0,2,5,2.49,Clear,26.6,42.8,7735,Dry,67,23,78,No,No,156,50,50,Low,Low Flow
35,SEN_059,RS_047,INT_039,01/01/2024 00:34,Monday,0,No,332,63.8,17.55,15.45,89.05,59.16,5,5,29.21,Clear,39.2,51.4,9362,Wet,298,10,680,No,No,363,384,202,Low,Low Flow
36,SEN_135,RS_046,INT_035,01/01/2024 00:35,Monday,0,No,827,72.96,43.62,47.66,160.2,112.1,6,5,63.7,Cloudy,28.7,63.7,1650,Dry,430,3,897,No,No,822,744,654,Moderate,Medium Flow
37,SEN_106,RS_061,INT_030,01/01/2024 00:36,Monday,0,No,936,63.44,42.69,49.94,148.91,114.62,6,7.38,58.95,Clear,42,73.9,1503,Dry,86,23,1558,No,No,831,847,846,High,High Flow
38,SEN_021,RS_039,INT_009,01/01/2024 00:37,Monday,0,No,1664,40.91,92.4,93.3,242.13,190.8,3,29.37,98.17,Rain,25.3,65.9,7201,Dry,216,19,611,No,No,1667,1541,1656,Severe,Very High Flow
39,SEN_123,RS_066,INT_024,01/01/2024 00:38,Monday,0,No,554,80.08,30.1,26.94,99.89,49.17,3,10.82,24.17,Clear,19.6,84.1,6675,Dry,314,15,1449,No,Yes,670,481,449,Moderate,Medium Flow
40,SEN_017,RS_070,INT_012,01/01/2024 00:39,Monday,0,No,1162,67.18,61.98,69.29,184.34,133.53,6,11.38,74.89,Windy,38.4,44.7,4218,Wet,333,21,375,No,No,1166,1029,1217,High,High Flow
41,SEN_014,RS_016,INT_049,01/01/2024 00:40,Monday,0,No,590,76.06,33.09,27.75,108.03,42.69,3,11.69,18.03,Rain,20.1,90.7,5791,Dry,405,22,175,No,No,586,717,353,Moderate,Medium Flow
42,SEN_094,RS_033,INT_019,01/01/2024 00:41,Monday,0,No,1785,48.65,81.43,98.65,243.77,194.43,3,22.47,85.56,Windy,30.1,69.2,1197,Dry,179,4,1013,Yes,No,1744,1800,1800,Severe,Very High Flow
43,SEN_119,RS_013,INT_045,01/01/2024 00:42,Monday,0,No,1579,35.57,78.38,81.81,196.41,161.56,4,19.22,77.24,Rain,26.3,56.2,4638,Dry,307,12,957,No,No,1584,1697,1356,Severe,Very High Flow
44,SEN_053,RS_071,INT_048,01/01/2024 00:43,Monday,0,No,779,71.74,38.87,47.93,149.32,100.87,3,12.22,50.35,Rain,40.5,69.9,7043,Dry,80,4,118,No,Yes,886,678,664,Moderate,Medium Flow
45,SEN_038,RS_028,INT_001,01/01/2024 00:44,Monday,0,No,1055,59.07,51.48,64.83,184.09,116.76,3,15.1,56.79,Clear,39.8,40.1,6972,Dry,357,14,549,No,No,1038,1126,855,High,High Flow
46,SEN_059,RS_024,INT_009,01/01/2024 00:45,Monday,0,No,269,77.58,14.49,10.18,75.71,10.63,4,5,2.35,Cloudy,32.6,62.9,4105,Dry,120,4,790,No,No,155,146,145,Low,Low Flow
47,SEN_039,RS_064,INT_016,01/01/2024 00:46,Monday,0,No,1037,48.8,41.31,58.91,161.06,105.13,4,11.24,49.1,Clear,38.4,60.9,8155,Dry,140,7,1386,No,No,1122,1090,1040,High,High Flow
48,SEN_069,RS_063,INT_045,01/01/2024 00:47,Monday,0,No,766,71.79,38.94,41.37,129.56,86.15,5,6.9,42.38,Windy,21.1,34.6,6333,Dry,320,15,852,No,No,840,615,713,Moderate,Medium Flow
49,SEN_053,RS_006,INT_002,01/01/2024 00:48,Monday,0,No,1037,65.62,50.33,59.66,171.34,126.02,5,12.14,76.01,Rain,27.8,71.6,7844,Dry,71,19,1179,No,No,1074,889,1208,High,High Flow
50,SEN_106,RS_029,INT_024,01/01/2024 00:49,Monday,0,No,642,79.71,21.52,41.97,122.86,97.11,5,5,45.35,Windy,41,60.8,8120,Dry,310,20,877,No,Yes,741,765,506,Moderate,Medium Flow
51,SEN_109,RS_003,INT_012,01/01/2024 00:50,Monday,0,No,1670,49.34,85.61,94.32,219.31,180.44,3,29.91,93.26,Clear,25.2,87.6,4878,Dry,62,2,1518,No,No,1744,1616,1425,Severe,Very High Flow
52,SEN_098,RS_011,INT_004,01/01/2024 00:51,Monday,0,No,1347,46.88,61.44,71.77,189.85,141.26,3,17.71,74.69,Clear,32.3,87.8,3818,Dry,270,29,994,No,No,1357,1454,1154,High,High Flow
53,SEN_029,RS_048,INT_017,01/01/2024 00:52,Monday,0,No,911,71.72,43.65,47.85,150.8,86.36,3,16.8,46.49,Rain,22,47.4,5650,Dry,350,10,896,No,No,814,937,761,High,High Flow
54,SEN_127,RS_043,INT_034,01/01/2024 00:53,Monday,0,No,1608,52.44,79.13,87.92,220.45,167.26,2,41.72,85.99,Clear,30.5,75.5,4139,Dry,105,6,487,No,No,1627,1572,1453,Severe,Very High Flow
55,SEN_124,RS_035,INT_002,01/01/2024 00:54,Monday,0,No,1234,53.18,52.47,65.64,182.97,135.96,5,8.56,68.46,Clear,26.6,93.8,2857,Wet,230,19,1104,No,No,1235,1347,1368,High,High Flow
56,SEN_142,RS_015,INT_026,01/01/2024 00:55,Monday,0,No,1588,44.8,70.73,91.26,215.9,209.22,2,36.89,106.21,Fog,16.4,44.4,7660,Dry,126,18,1539,No,No,1559,1565,1538,Severe,Very High Flow
57,SEN_062,RS_067,INT_003,01/01/2024 00:56,Monday,0,No,726,63.65,39.03,43.72,124.7,82.13,4,12.64,37.93,Clear,34.4,44.7,5503,Dry,111,4,777,No,No,785,615,846,Moderate,Medium Flow
58,SEN_058,RS_010,INT_044,01/01/2024 00:57,Monday,0,No,100,96.03,5,10.59,86.13,4.43,5,5,0,Clear,20.4,33.8,2122,Dry,404,10,1516,No,Yes,76,90,161,Low,Low Flow
59,SEN_052,RS_048,INT_037,01/01/2024 00:58,Monday,0,No,920,54.64,44.04,49.41,138.8,118.18,3,8.84,60.5,Clear,31.5,74.1,1017,Dry,448,26,1154,Yes,Yes,913,881,791,High,High Flow
60,SEN_132,RS_064,INT_011,01/01/2024 00:59,Monday,0,No,246,86.18,12.66,18.28,97.03,19.83,6,5.36,18.82,Fog,32,78.5,4704,Wet,229,11,1221,No,Yes,337,409,249,Low,Low Flow
61,SEN_066,RS_009,INT_038,01/01/2024 01:00,Monday,1,No,1377,47.08,60.06,83.23,195.19,163.01,6,10.1,79.39,Windy,34.9,76.9,8042,Dry,236,25,250,No,No,1384,1306,1626,High,High Flow
62,SEN_045,RS_006,INT_034,01/01/2024 01:01,Monday,1,No,467,70.01,21.31,20.64,102.56,41.69,4,5,19.31,Rain,28.1,87,2009,Dry,399,17,876,No,No,562,625,524,Moderate,Medium Flow
63,SEN_058,RS_030,INT_047,01/01/2024 01:02,Monday,1,No,680,59.32,33.45,35.83,124.48,81.48,4,7.95,51.27,Clear,37.3,36.7,5182,Dry,127,27,93,No,No,641,627,838,Moderate,Medium Flow
64,SEN_006,RS_019,INT_021,01/01/2024 01:03,Monday,1,No,395,77.42,28.57,21.51,107.05,56.89,3,10.08,30.03,Clear,25.7,64.1,6375,Dry,50,17,1242,No,No,360,280,243,Low,Low Flow
65,SEN_029,RS_016,INT_037,01/01/2024 01:04,Monday,1,No,93,79.76,5,8.46,81.56,14.43,6,5,0,Clear,25.2,78,8514,Dry,196,20,1522,No,No,75,50,103,Low,Low Flow
66,SEN_073,RS_016,INT_040,01/01/2024 01:05,Monday,1,No,321,81.17,19.99,23.19,98.99,65.6,4,13.01,44.49,Clear,27,41.9,847,Dry,373,22,622,Yes,No,434,370,338,Low,Low Flow
67,SEN_039,RS_055,INT_001,01/01/2024 01:06,Monday,1,No,856,76.16,42.79,40.63,128.76,79.06,4,10.51,39.88,Cloudy,38.6,63.6,3730,Wet,46,2,630,No,No,886,843,1104,Moderate,Medium Flow
68,SEN_098,RS_075,INT_036,01/01/2024 01:07,Monday,1,No,1449,49.8,66.77,77.82,202.61,142.34,4,21.39,69.47,Rain,34.7,90.2,7805,Wet,252,24,1469,No,Yes,1445,1538,1677,Severe,Very High Flow
69,SEN_032,RS_054,INT_048,01/01/2024 01:08,Monday,1,No,644,83.58,29.04,40.36,128.64,80.07,4,8.15,30.96,Clear,31.8,36.6,8276,Dry,147,19,659,No,No,547,757,778,Moderate,Medium Flow
70,SEN_105,RS_018,INT_035,01/01/2024 01:09,Monday,1,No,977,56.19,53.18,50.87,125.35,99.11,3,17.41,50.43,Clear,34,52.6,6306,Dry,361,5,1365,No,Yes,869,1045,948,High,High Flow
71,SEN_051,RS_034,INT_037,01/01/2024 01:10,Monday,1,No,1443,41.09,76.03,83.36,207.8,162.1,4,17.32,84.26,Clear,35.6,62.3,5351,Dry,209,12,1618,No,No,1388,1518,1427,Severe,Very High Flow
72,SEN_026,RS_008,INT_002,01/01/2024 01:11,Monday,1,No,171,78.95,5.95,11.79,74.35,33.27,2,5,21.58,Cloudy,32.1,78.3,5157,Dry,187,10,811,No,No,210,104,403,Low,Low Flow
73,SEN_135,RS_060,INT_012,01/01/2024 01:12,Monday,1,No,1470,47.61,75.22,84.78,208.31,154.27,4,19.05,77.14,Windy,27.6,92.9,9370,Dry,352,3,565,No,No,1567,1329,1463,Severe,Very High Flow
74,SEN_100,RS_071,INT_046,01/01/2024 01:13,Monday,1,No,1035,76.77,46.56,60.66,171.57,127.19,4,5,65.98,Rain,21.1,41.8,9268,Wet,230,10,1268,No,Yes,1151,1124,899,High,High Flow
75,SEN_049,RS_009,INT_013,01/01/2024 01:14,Monday,1,No,1558,35.51,77.02,84.85,222.66,170.33,3,22.63,86.07,Cloudy,40,70.4,9111,Dry,428,2,1359,No,No,1460,1488,1730,Severe,Very High Flow
76,SEN_133,RS_066,INT_038,01/01/2024 01:15,Monday,1,No,1531,49.98,74.4,83.99,225.89,156.85,2,37.07,78.35,Clear,34.5,61.1,9001,Dry,310,11,708,No,No,1437,1468,1766,Severe,Very High Flow
77,SEN_079,RS_080,INT_047,01/01/2024 01:16,Monday,1,No,588,69,34.06,31.28,120.23,64.12,4,8.54,18.58,Rain,21.6,52.8,8335,Dry,168,15,613,No,No,561,708,649,Moderate,Medium Flow
78,SEN_135,RS_012,INT_049,01/01/2024 01:17,Monday,1,No,855,64.23,45.06,48.4,142.36,112.04,4,5,56.5,Clear,38.9,40.8,4081,Wet,204,20,1209,No,No,879,987,815,Moderate,Medium Flow
79,SEN_078,RS_071,INT_020,01/01/2024 01:18,Monday,1,No,114,79.19,5,5,76.75,16.27,3,5,9.64,Clear,34.8,61.7,6068,Dry,341,17,370,No,No,138,50,81,Low,Low Flow
80,SEN_086,RS_062,INT_006,01/01/2024 01:19,Monday,1,No,285,87.13,11.37,17.76,79.89,29.8,4,6.05,10.75,Rain,31.4,57.8,6188,Dry,163,2,342,No,No,219,249,364,Low,Low Flow
81,SEN_147,RS_051,INT_023,01/01/2024 01:20,Monday,1,No,1184,55.91,59.05,72.67,185.28,153.78,2,30.2,78.51,Fog,26.4,63.9,8371,Dry,40,13,941,No,No,1113,1273,1160,High,High Flow
82,SEN_101,RS_074,INT_023,01/01/2024 01:21,Monday,1,No,1665,48.95,82.44,93.29,226.08,173.61,2,42.28,86.91,Rain,28,64,4445,Wet,102,15,728,No,No,1776,1716,1655,Severe,Very High Flow
83,SEN_145,RS_079,INT_017,01/01/2024 01:22,Monday,1,No,1491,48.45,73.15,82.34,192.82,169.29,2,40.37,78.72,Clear,28,70.7,9892,Dry,105,12,1199,No,No,1408,1558,1592,Severe,Very High Flow
84,SEN_038,RS_066,INT_010,01/01/2024 01:23,Monday,1,No,1105,46.84,53.49,61.68,173,139.89,4,17.89,68.8,Clear,30.8,93,919,Dry,149,19,804,No,Yes,1076,1180,1310,High,High Flow
85,SEN_142,RS_002,INT_019,01/01/2024 01:24,Monday,1,No,1101,65.12,61.95,63.29,167.34,113.99,3,19.4,61.42,Windy,24.6,43.7,964,Wet,139,15,1176,No,No,1153,1124,1107,High,High Flow
86,SEN_048,RS_025,INT_003,01/01/2024 01:25,Monday,1,No,1493,35.26,72.39,87.52,219.49,184.93,3,29.17,89.28,Cloudy,26.5,50.8,695,Dry,144,15,1022,Yes,No,1553,1500,1638,Severe,Very High Flow
87,SEN_020,RS_032,INT_004,01/01/2024 01:26,Monday,1,No,645,60.35,33.75,35.56,121.89,60.62,4,5,23.51,Clear,24.4,47.9,6510,Wet,362,26,211,No,No,584,553,780,Moderate,Medium Flow
88,SEN_064,RS_050,INT_035,01/01/2024 01:27,Monday,1,No,1209,49.95,72.56,66.5,172.97,132.56,4,16.97,61.8,Clear,41.3,32.5,2373,Wet,402,17,134,No,No,1168,1374,984,High,High Flow
89,SEN_016,RS_061,INT_017,01/01/2024 01:28,Monday,1,No,1580,39.43,74.77,82.28,200.11,149.23,3,30.38,72.01,Clear,27.9,53.5,4954,Dry,359,9,235,No,No,1592,1434,1690,Severe,Very High Flow
90,SEN_006,RS_015,INT_004,01/01/2024 01:29,Monday,1,No,782,76.03,40.06,43.63,138.15,98.84,6,8.31,50.79,Clear,35.2,81,2716,Dry,391,8,1432,No,No,775,794,643,Moderate,Medium Flow
91,SEN_050,RS_065,INT_045,01/01/2024 01:30,Monday,1,No,481,75.23,25.27,21.91,105.25,32.55,3,5.79,19.84,Rain,26.6,42.1,1037,Dry,397,19,1671,No,No,386,528,548,Moderate,Medium Flow
92,SEN_094,RS_053,INT_018,01/01/2024 01:31,Monday,1,No,809,74.37,40.39,42.76,142.51,82.89,3,11.17,44.94,Clear,37.9,52.5,843,Dry,363,22,1398,No,No,838,984,602,Moderate,Medium Flow
93,SEN_005,RS_041,INT_007,01/01/2024 01:32,Monday,1,No,1659,39.19,83.16,95.68,234.57,203.87,5,17.64,96.41,Rain,23.6,74.4,6700,Wet,174,20,50,No,No,1614,1609,1800,Severe,Very High Flow
94,SEN_030,RS_066,INT_016,01/01/2024 01:33,Monday,1,No,241,85.02,7.66,17.47,96.03,40.42,4,5,22.9,Clear,22.8,88.9,5281,Dry,413,28,368,No,No,265,303,457,Low,Low Flow
95,SEN_107,RS_028,INT_031,01/01/2024 01:34,Monday,1,No,281,84.82,15.84,17.46,92.03,44.08,4,8.1,19.43,Fog,16.1,87.2,8488,Dry,292,10,1358,No,No,181,328,397,Low,Low Flow
96,SEN_066,RS_077,INT_036,01/01/2024 01:35,Monday,1,No,1075,63.46,44.56,64.58,170.98,139.42,5,5,69.71,Clear,27.6,51.5,1801,Dry,341,28,974,No,No,1105,1174,1045,High,High Flow
97,SEN_005,RS_008,INT_008,01/01/2024 01:36,Monday,1,No,349,77.24,26.44,12.79,94.26,29.62,5,10.9,18.93,Clear,35.3,37.7,7901,Wet,441,12,1145,No,No,317,285,313,Low,Low Flow
98,SEN_136,RS_069,INT_030,01/01/2024 01:37,Monday,1,No,895,62.16,53.32,56.23,155.98,131.85,5,11.83,60.05,Clear,21.9,34.3,7738,Dry,370,18,1331,No,No,941,717,907,Moderate,Medium Flow
99,SEN_121,RS_025,INT_011,01/01/2024 01:38,Monday,1,No,1374,48.95,67.05,72.94,203.9,151.47,3,17.95,70.56,Cloudy,24.3,34.1,336,Dry,184,15,1129,No,No,1291,1461,1180,High,High Flow
100,SEN_077,RS_005,INT_030,01/01/2024 01:39,Monday,1,No,535,64.8,32.01,30.93,120.76,60.32,4,9.95,28.07,Clear,20.1,66.9,9687,Wet,49,24,1503,No,No,486,531,446,Moderate,Medium Flow
101,SEN_026,RS_014,INT_024,01/01/2024 01:40,Monday,1,No,1565,44.78,76.78,84.28,209.68,165.56,4,14.67,84.08,Fog,17.9,89.4,4739,Dry,208,4,1570,No,No,1548,1568,1423,Severe,Very High Flow
102,SEN_110,RS_024,INT_014,01/01/2024 01:41,Monday,1,No,1355,48.98,67.8,76.52,187.45,149.8,3,18.61,72.96,Rain,38.8,86.3,6867,Dry,292,4,767,No,No,1364,1334,1515,High,High Flow
103,SEN_080,RS_056,INT_032,01/01/2024 01:42,Monday,1,No,1096,62.17,51.4,60.96,172.42,121.3,6,7.73,56.67,Clear,30.4,82.3,7365,Dry,312,13,1194,No,No,1112,1056,1146,High,High Flow
104,SEN_022,RS_006,INT_014,01/01/2024 01:43,Monday,1,No,375,79.83,22.85,25.38,105.31,60.12,5,8.96,36.54,Clear,38.6,74.9,5199,Wet,294,10,1577,No,No,469,325,223,Low,Low Flow
105,SEN_130,RS_047,INT_011,01/01/2024 01:44,Monday,1,No,799,75.19,37.04,54.25,167.36,95.13,6,5,43.04,Clear,15.6,59.8,1003,Dry,235,17,942,No,Yes,731,836,549,Moderate,Medium Flow
106,SEN_021,RS_039,INT_022,01/01/2024 01:45,Monday,1,No,417,78.51,24.78,26.69,99.74,34.27,3,11.52,15.15,Clear,15.2,50.7,2124,Dry,274,13,928,No,No,514,466,443,Low,Low Flow
107,SEN_086,RS_025,INT_043,01/01/2024 01:46,Monday,1,No,958,59.26,47.69,52.74,163.39,87.41,2,29.75,43.46,Rain,30.3,68.5,6448,Wet,37,2,1398,No,No,878,932,922,High,High Flow
108,SEN_121,RS_050,INT_027,01/01/2024 01:47,Monday,1,No,1156,57.32,57.71,70.35,198.44,131.42,2,30.01,74.87,Windy,28.8,57.9,4781,Dry,285,29,1119,No,No,1238,1043,1300,High,High Flow
109,SEN_099,RS_070,INT_007,01/01/2024 01:48,Monday,1,No,871,69.46,36.09,41.6,129.13,83.56,5,9.87,38.98,Windy,24,70.1,1275,Dry,138,16,661,No,No,864,912,1019,Moderate,Medium Flow
110,SEN_102,RS_052,INT_020,01/01/2024 01:49,Monday,1,No,296,70.9,15.1,14.12,91.32,42.03,4,5,25.04,Clear,25.5,42.8,6070,Dry,278,26,810,Yes,No,275,475,506,Low,Low Flow
111,SEN_026,RS_013,INT_011,01/01/2024 01:50,Monday,1,No,843,61.62,36.42,45.91,153.87,91.92,3,13.07,44.55,Windy,15.7,83,4864,Dry,201,29,1036,No,No,726,786,764,Moderate,Medium Flow
112,SEN_041,RS_073,INT_023,01/01/2024 01:51,Monday,1,No,267,78.21,13.66,13.72,95.59,30.1,5,6.5,4.52,Cloudy,35.9,63.1,8140,Dry,167,28,1085,No,No,151,256,246,Low,Low Flow
113,SEN_007,RS_044,INT_045,01/01/2024 01:52,Monday,1,No,459,79.35,32.65,22.54,109,50.79,4,9.78,29.12,Rain,26.2,68.7,3204,Dry,292,7,199,No,No,503,363,485,Moderate,Medium Flow
114,SEN_048,RS_011,INT_042,01/01/2024 01:53,Monday,1,No,572,76.82,21.65,34.56,135.97,76.53,4,5,40.4,Cloudy,34.7,81.8,7552,Dry,164,13,1455,No,No,486,566,413,Moderate,Medium Flow
115,SEN_003,RS_063,INT_032,01/01/2024 01:54,Monday,1,No,1144,57.92,56.47,63.55,174.92,140.39,5,12.51,73.23,Rain,40.3,46,8446,Wet,191,8,871,No,No,1226,1242,1061,High,High Flow
116,SEN_115,RS_026,INT_009,01/01/2024 01:55,Monday,1,No,1260,39.13,59.82,69.45,184.66,134.35,4,14.07,65.03,Cloudy,15.2,53.4,314,Dry,24,25,1662,No,No,1185,1228,1301,High,High Flow
